"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"**Test Case ID:** TC-DIR-01
**Title:** Page heading is visible on All Truck Brands
**Language:** en

**Description:**
Open the All Truck Brands directory page and verify its main heading is shown.

**Expected Result:**
The user sees the ""All Truck Brands"" heading at the top of the page.

**Steps:**
1. Open the All Truck Brands page
2. Verify the main page heading is visible","5928","TC-DIR-01: page heading is visible on All Truck Brands","UtilityPages - DirectoryPage [allTruckBrands] [en] — All Truck Brands","2026-09-03","passed","2026-09-03","","","",""
"","16075","TC-DIR-00: page links resolve 200/30x; broken links are logged, not failed","UtilityPages - DirectoryPage [allTruckBrands] [en] — All Truck Brands","2026-09-03","passed","2026-09-03","","","",""
"","11286","TC-PL-00: page links resolve 200/30x; broken links are logged, not failed","CategoryPages - PayloadListing [ton20to40] [en] — 20 ton - 40 ton Trucks","2026-09-03","passed","2026-09-03","","","",""
"**Test Case ID:** TC-PL-02
**Title:** Check Truck Price lead form shows required validation when submitted empty on 1 ton - 2.5 ton Trucks
**Language:** en

**Description:**
Open the 1 ton - 2.5 ton Trucks page, open Check Truck Price, and submit with name, mobile and city all left empty.

**Expected Result:**
The real, page-shown validation messages for name, mobile and location are displayed, and no lead is submitted.

**Steps:**
1. Open the 1 ton - 2.5 ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Leave name, mobile and city empty and submit
4. Verify all three required-field validation messages are shown","3815","TC-PL-02: Check Truck Price lead form shows required validation when submitted empty on 1 ton - 2.5 ton Trucks","CategoryPages - PayloadListing [ton1to2_5] [en] — 1 ton - 2.5 ton Trucks","2026-09-03","passed","2026-09-03","","","",""
"**Test Case ID:** TC-PL-03
**Title:** Check Truck Price lead form rejects mobile that is not 10 digits on 40 ton - 300 ton Trucks
**Language:** en

**Description:**
Open the 40 ton - 300 ton Trucks page, open Check Truck Price, fill a valid name, an invalid (5-digit) mobile number, and leave city empty, then submit.

**Expected Result:**
The real, page-shown mobile-format and location-required validation messages are displayed, and no lead is submitted.

**Steps:**
1. Open the 40 ton - 300 ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Fill a valid name and an invalid mobile number
4. Submit with city left empty
5. Verify the mobile-format and location validation messages are shown","4706","TC-PL-03: Check Truck Price lead form rejects mobile that is not 10 digits on 40 ton - 300 ton Trucks","CategoryPages - PayloadListing [ton40to300] [en] — 40 ton - 300 ton Trucks","2026-09-03","passed","2026-09-03","","","",""
"**Test Case ID:** TC-PL-04
**Title:** Call Now assistance lead submits successfully on 20 ton - 40 ton Trucks
**Language:** en

**Description:**
Open the 20 ton - 40 ton Trucks page, click the ""Still confused?"" widget's Call Now button to open the assistance lead form, fill model, name, mobile and city, and submit.

**Expected Result:**
The assistance form closes after a successful submission.

**Steps:**
1. Open the 20 ton - 40 ton Trucks page
2. Click Call Now to open the assistance lead form
3. Fill model, name, mobile and city
4. Submit and verify the assistance form closes","7304","TC-PL-04: Call Now assistance lead submits successfully on 20 ton - 40 ton Trucks","CategoryPages - PayloadListing [ton20to40] [en] — 20 ton - 40 ton Trucks","2026-09-03","passed","2026-09-03","","","",""
"**Test Case ID:** TC-DIR-01
**Title:** Page heading is visible on Top Bus Brands
**Language:** en

**Description:**
Open the Top Bus Brands directory page and verify its main heading is shown.

**Expected Result:**
The user sees the ""Top Bus Brands"" heading at the top of the page.

**Steps:**
1. Open the Top Bus Brands page
2. Verify the main page heading is visible","1557","TC-DIR-01: page heading is visible on Top Bus Brands","UtilityPages - DirectoryPage [allBusBrands] [en] — Top Bus Brands","2026-09-03","passed","2026-09-03","","","",""
"**Test Case ID:** TC-PL-05
**Title:** listing heading, filters and cards on Under 1 Ton Trucks
**Language:** en

**Description:**
Open Under 1 Ton Trucks and confirm the page heading and at least one listing card CTA. Filter By is checked when that row is present.

**Expected Result:**
Page heading is visible and at least one listing card button is shown.

**Steps:**
1. Open the Under 1 Ton Trucks page
2. Verify the page heading
3. Verify listing cards (and Filter By when present)","1340","TC-PL-05: listing heading, filters and cards on Under 1 Ton Trucks","CategoryPages - PayloadListing [under1Ton] [en] — Under 1 Ton Trucks","2026-09-03","passed","2026-09-03","","","",""
"**Test Case ID:** TC-CDT-01
**Title:** Page heading is visible on Sitemap
**Language:** en

**Description:**
Open the Sitemap page and verify its main heading is shown.

**Expected Result:**
The user sees the ""Truck Junction - Sitemap"" heading at the top of the page.

**Steps:**
1. Open the Sitemap page
2. Verify the main page heading is visible","1014","TC-CDT-01: page heading is visible on Sitemap","UtilityPages - ContentDetailPage [sitemap] [en] — Sitemap","2026-09-03","passed","2026-09-03","","","",""
"**Test Case ID:** TC-PL-03
**Title:** Check Truck Price lead form rejects mobile that is not 10 digits on 2.5 ton - 5 ton Trucks
**Language:** en

**Description:**
Open the 2.5 ton - 5 ton Trucks page, open Check Truck Price, fill a valid name, an invalid (5-digit) mobile number, and leave city empty, then submit.

**Expected Result:**
The real, page-shown mobile-format and location-required validation messages are displayed, and no lead is submitted.

**Steps:**
1. Open the 2.5 ton - 5 ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Fill a valid name and an invalid mobile number
4. Submit with city left empty
5. Verify the mobile-format and location validation messages are shown","4807","TC-PL-03: Check Truck Price lead form rejects mobile that is not 10 digits on 2.5 ton - 5 ton Trucks","CategoryPages - PayloadListing [ton2_5to5] [en] — 2.5 ton - 5 ton Trucks","2026-09-03","passed","2026-09-03","","","",""
"**Test Case ID:** TC-PL-02
**Title:** Check Truck Price lead form shows required validation when submitted empty on Under 1 Ton Trucks
**Language:** en

**Description:**
Open the Under 1 Ton Trucks page, open Check Truck Price, and submit with name, mobile and city all left empty.

**Expected Result:**
The real, page-shown validation messages for name, mobile and location are displayed, and no lead is submitted.

**Steps:**
1. Open the Under 1 Ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Leave name, mobile and city empty and submit
4. Verify all three required-field validation messages are shown","3898","TC-PL-02: Check Truck Price lead form shows required validation when submitted empty on Under 1 Ton Trucks","CategoryPages - PayloadListing [under1Ton] [en] — Under 1 Ton Trucks","2026-09-03","passed","2026-09-03","","","",""
"**Test Case ID:** TC-PL-05
**Title:** listing heading, filters and cards on 5 ton - 10 ton Trucks
**Language:** en

**Description:**
Open 5 ton - 10 ton Trucks and confirm the page heading and at least one listing card CTA. Filter By is checked when that row is present.

**Expected Result:**
Page heading is visible and at least one listing card button is shown.

**Steps:**
1. Open the 5 ton - 10 ton Trucks page
2. Verify the page heading
3. Verify listing cards (and Filter By when present)","1852","TC-PL-05: listing heading, filters and cards on 5 ton - 10 ton Trucks","CategoryPages - PayloadListing [ton5to10] [en] — 5 ton - 10 ton Trucks","2026-09-03","passed","2026-09-03","","","",""
"**Test Case ID:** TC-CDT-01
**Title:** Page heading is visible on Author Profile
**Language:** en

**Description:**
Open the Author Profile page and verify its main heading is shown.

**Expected Result:**
The user sees the ""Neeraj Joshi"" heading at the top of the page.

**Steps:**
1. Open the Author Profile page
2. Verify the main page heading is visible","2214","TC-CDT-01: page heading is visible on Author Profile","UtilityPages - ContentDetailPage [authorDetail] [en] — Author Profile","2026-09-03","passed","2026-09-03","","","",""
"","4186","TC-CDT-00: page links resolve 200/30x; broken links are logged, not failed","UtilityPages - ContentDetailPage [termsAndCondition] [en] — Terms and Conditions","2026-09-03","passed","2026-09-03","","","",""
"","10530","TC-PL-00: page links resolve 200/30x; broken links are logged, not failed","CategoryPages - PayloadListing [ton1to2_5] [en] — 1 ton - 2.5 ton Trucks","2026-09-03","passed","2026-09-03","","","",""
